Temperature,Humidity,Wind,Outlook,Play
5,44,1,overcast,0
5,44,1,overcast,0
2.2,53,1,overcast,0
2.2,53,1,overcast,0
2.2,53,1,overcast,0
2.2,53,1,overcast,0
2.2,53,1,overcast,0
2.2,53,1,overcast,0
2.2,53,1,overcast,0
0.4,58,0,snow,0
0.4,58,0,snow,0
0.4,58,0,snow,0
0.4,58,0,snow,0
0.4,58,0,snow,0
0.4,58,0,snow,1
0.4,58,0,snow,0
-1.8,60,1,overcast,0
-1.8,60,1,overcast,0
-1.8,60,1,overcast,0
-1.8,60,1,overcast,1
-1.8,60,1,overcast,1
-1.8,60,1,overcast,1
-1.8,60,1,overcast,0
-2,54,1,snow,0
-2,54,1,snow,0
-2,54,1,snow,0
-2,54,1,snow,1
-2,54,1,snow,0
-2,54,1,snow,1
-2,54,1,snow,0
-0.4,57,0,snow,0
-0.4,57,0,snow,0
-0.4,57,0,snow,0
-0.4,57,0,snow,0
-0.4,57,0,snow,0
-0.4,57,0,snow,1
-0.4,57,0,snow,0
0.9,45,1,sunny,0
0.9,45,1,sunny,0
0.9,45,1,sunny,0
0.9,45,1,sunny,1
0.9,45,1,sunny,0
0.9,45,1,sunny,1
0.9,45,1,sunny,0
2.3,59,1,overcast,0
2.3,59,1,overcast,0
2.3,59,1,overcast,0
2.3,59,1,overcast,0
2.3,59,1,overcast,0
2.3,59,1,overcast,0
2.3,59,1,overcast,0
4.1,53,1,sunny,0
4.1,53,1,sunny,0
4.1,53,1,sunny,0
4.1,53,1,sunny,0
4.1,53,1,sunny,0
4.1,53,1,sunny,0
4.1,53,1,sunny,0
4.6,49,1,overcast,0
4.6,49,1,overcast,0
4.6,49,1,overcast,0
4.6,49,1,overcast,1
4.6,49,1,overcast,0
4.6,49,1,overcast,0
4.6,49,1,overcast,0
5.5,44,0,sunny,1
5.5,44,0,sunny,0
5.5,44,0,sunny,1
5.5,44,0,sunny,0
5.5,44,0,sunny,1
5.5,44,0,sunny,0
5.5,44,0,sunny,0
4.9,45,1,overcast,0
4.9,45,1,overcast,0
4.9,45,1,overcast,0
4.9,45,1,overcast,1
4.9,45,1,overcast,0
4.9,45,1,overcast,0
4.9,45,1,overcast,0
4.1,45,1,sunny,0
4.1,45,1,sunny,0
4.1,45,1,sunny,0
4.1,45,1,sunny,0
4.1,45,1,sunny,0
4.1,45,1,sunny,0
4.1,45,1,sunny,0
2.8,45,0,sunny,1
2.8,45,0,sunny,0
2.8,45,0,sunny,0
2.8,45,0,sunny,0
2.8,45,0,sunny,0
2.8,45,0,sunny,0
2.8,45,0,sunny,0
0.7,52,1,snow,0
0.7,52,1,snow,0
0.7,52,1,snow,0
0.7,52,1,snow,0
0.7,52,1,snow,0
0.7,52,1,snow,0
0.7,52,1,snow,0
-0.4,62,1,snow,0
-0.4,62,1,snow,0
-0.4,62,1,snow,0
-0.4,62,1,snow,0
-0.4,62,1,snow,0
-0.4,62,1,snow,1
-0.4,62,1,snow,0
-0.1,47,0,overcast,0
-0.1,47,0,overcast,0
-0.1,47,0,overcast,0
-0.1,47,0,overcast,0
-0.1,47,0,overcast,0
-0.1,47,0,overcast,0
-0.1,47,0,overcast,0
0.9,43,1,snow,0
0.9,43,1,snow,0
0.9,43,1,snow,0
0.9,43,1,snow,1
0.9,43,1,snow,0
0.9,43,1,snow,1
0.9,43,1,snow,0
3.5,51,0,overcast,0
3.5,51,0,overcast,0
3.5,51,0,overcast,1
3.5,51,0,overcast,0
3.5,51,0,overcast,0
3.5,51,0,overcast,0
3.5,51,0,overcast,0
4.8,47,0,sunny,1
4.8,47,0,sunny,0
4.8,47,0,sunny,1
4.8,47,0,sunny,0
4.8,47,0,sunny,0
4.8,47,0,sunny,0
4.8,47,0,sunny,0
4.8,55,0,overcast,1
4.8,55,0,overcast,1
4.8,55,0,overcast,1
4.8,55,0,overcast,0
4.8,55,0,overcast,0
4.8,55,0,overcast,0
4.8,55,0,overcast,0
4.6,61,1,sunny,0
4.6,61,1,sunny,0
4.6,61,1,sunny,0
4.6,61,1,sunny,0
4.6,61,1,sunny,1
4.6,61,1,sunny,0
4.6,61,1,sunny,0
3.4,69,0,sunny,0
3.4,69,0,sunny,0
3.4,69,0,sunny,0
3.4,69,0,sunny,0
3.4,69,0,sunny,0
3.4,69,0,sunny,0
3.4,69,0,sunny,0
3.3,57,0,overcast,0
3.3,57,0,overcast,0
3.3,57,0,overcast,1
3.3,57,0,overcast,0
3.3,57,0,overcast,0
3.3,57,0,overcast,0
3.3,57,0,overcast,0
2.8,42,1,sunny,0
2.8,42,1,sunny,0
2.8,42,1,sunny,0
2.8,42,1,sunny,0
2.8,42,1,sunny,1
2.8,42,1,sunny,0
2.8,42,1,sunny,0
2.4,44,0,overcast,1
2.4,44,0,overcast,0
2.4,44,0,overcast,1
2.4,44,0,overcast,0
2.4,44,0,overcast,0
2.4,44,0,overcast,0
2.4,44,0,overcast,0
2.4,52,1,overcast,0
2.4,52,1,overcast,0
2.4,52,1,overcast,0
2.4,52,1,overcast,1
2.4,52,1,overcast,0
2.4,52,1,overcast,0
2.4,52,1,overcast,0
1.7,46,0,snow,0
1.7,46,0,snow,0
1.7,46,0,snow,0
1.7,46,0,snow,0
1.7,46,0,snow,0
1.7,46,0,snow,1
1.7,46,0,snow,0
2.2,44,1,sunny,0
2.2,44,1,sunny,0
2.2,44,1,sunny,0
2.2,44,1,sunny,0
2.2,44,1,sunny,1
2.2,44,1,sunny,0
2.2,44,1,sunny,0
2.3,53,1,overcast,0
2.3,53,1,overcast,1
2.3,53,1,overcast,0
2.3,53,1,overcast,1
2.3,53,1,overcast,0
2.3,53,1,overcast,0
2.3,53,1,overcast,0
2.7,61,1,overcast,0
2.7,61,1,overcast,0
2.7,61,1,overcast,0
2.7,61,1,overcast,1
2.7,61,1,overcast,0
2.7,61,1,overcast,0
2.7,61,1,overcast,0
4.1,45,1,overcast,0
4.1,45,1,overcast,0
4.1,45,1,overcast,0
4.1,45,1,overcast,1
4.1,45,1,overcast,0
4.1,45,1,overcast,0
4.1,45,1,overcast,0
5.3,55,0,sunny,1
5.3,55,0,sunny,0
5.3,55,0,sunny,1
5.3,55,0,sunny,0
5.3,55,0,sunny,1
5.3,55,0,sunny,0
5.3,55,0,sunny,0
6.2,39,1,sunny,0
6.2,39,1,sunny,0
6.2,39,1,sunny,0
6.2,39,1,sunny,0
6.2,39,1,sunny,0
6.2,39,1,sunny,0
6.2,39,1,sunny,0
7.1,51,1,overcast,0
7.1,51,1,overcast,1
7.1,51,1,overcast,1
7.1,51,1,overcast,1
7.1,51,1,overcast,0
7.1,51,1,overcast,0
7.1,51,1,overcast,0
7.2,61,0,sunny,0
7.2,61,0,sunny,0
7.2,61,0,sunny,0
7.2,61,0,sunny,0
7.2,61,0,sunny,0
7.2,61,0,sunny,0
7.2,61,0,sunny,0
6.7,45,0,sunny,1
6.7,45,0,sunny,0
6.7,45,0,sunny,1
6.7,45,0,sunny,0
6.7,45,0,sunny,1
6.7,45,0,sunny,0
6.7,45,0,sunny,0
5.4,40,1,sunny,0
5.4,40,1,sunny,0
5.4,40,1,sunny,0
5.4,40,1,sunny,0
5.4,40,1,sunny,1
5.4,40,1,sunny,0
5.4,40,1,sunny,0
4.4,59,1,overcast,0
4.4,59,1,overcast,1
4.4,59,1,overcast,0
4.4,59,1,overcast,1
4.4,59,1,overcast,0
4.4,59,1,overcast,0
4.4,59,1,overcast,0
4.2,41,1,overcast,0
4.2,41,1,overcast,0
4.2,41,1,overcast,0
4.2,41,1,overcast,1
4.2,41,1,overcast,0
4.2,41,1,overcast,0
4.2,41,1,overcast,0
4,57,1,sunny,0
4,57,1,sunny,0
4,57,1,sunny,0
4,57,1,sunny,1
4,57,1,sunny,0
4,57,1,sunny,0
4,57,1,sunny,0
4.6,54,0,sunny,1
4.6,54,0,sunny,0
4.6,54,0,sunny,1
4.6,54,0,sunny,0
4.6,54,0,sunny,0
4.6,54,0,sunny,0
4.6,54,0,sunny,0
5.2,44,1,sunny,0
5.2,44,1,sunny,0
5.2,44,1,sunny,0
5.2,44,1,sunny,0
5.2,44,1,sunny,1
5.2,44,1,sunny,0
5.2,44,1,sunny,0
5.2,50,1,sunny,0
5.2,50,1,sunny,0
5.2,50,1,sunny,0
5.2,50,1,sunny,0
5.2,50,1,sunny,1
5.2,50,1,sunny,0
5.2,50,1,sunny,0
4.7,67,1,sunny,0
4.7,67,1,sunny,0
4.7,67,1,sunny,0
4.7,67,1,sunny,0
4.7,67,1,sunny,1
4.7,67,1,sunny,0
4.7,67,1,sunny,0
3.5,52,1,sunny,0
3.5,52,1,sunny,0
3.5,52,1,sunny,0
3.5,52,1,sunny,0
3.5,52,1,sunny,0
3.5,52,1,sunny,0
3.5,52,1,sunny,0
2.6,57,1,sunny,0
2.6,57,1,sunny,0
2.6,57,1,sunny,0
2.6,57,1,sunny,0
2.6,57,1,sunny,1
2.6,57,1,sunny,0
2.6,57,1,sunny,0
2.7,60,1,overcast,0
2.7,60,1,overcast,0
2.7,60,1,overcast,0
2.7,60,1,overcast,1
2.7,60,1,overcast,0
2.7,60,1,overcast,0
2.7,60,1,overcast,0
3.4,37,1,sunny,0
3.4,37,1,sunny,0
3.4,37,1,sunny,0
3.4,37,1,sunny,0
3.4,37,1,sunny,0
3.4,37,1,sunny,0
3.4,37,1,sunny,0
4.3,47,1,sunny,0
4.3,47,1,sunny,0
4.3,47,1,sunny,0
4.3,47,1,sunny,0
4.3,47,1,sunny,1
4.3,47,1,sunny,0
4.3,47,1,sunny,0
5.5,56,1,overcast,0
5.5,56,1,overcast,0
5.5,56,1,overcast,0
5.5,56,1,overcast,0
5.5,56,1,overcast,0
5.5,56,1,overcast,0
5.5,56,1,overcast,0
7.1,44,1,overcast,0
7.1,44,1,overcast,0
7.1,44,1,overcast,0
7.1,44,1,overcast,0
7.1,44,1,overcast,0
7.1,44,1,overcast,0
7.1,44,1,overcast,0
7.6,41,1,sunny,0
7.6,41,1,sunny,0
7.6,41,1,sunny,0
7.6,41,1,sunny,0
7.6,41,1,sunny,0
7.6,41,1,sunny,0
7.6,41,1,sunny,0
6.9,63,1,rainy,0
6.9,63,1,rainy,0
6.9,63,1,rainy,0
6.9,63,1,rainy,0
6.9,63,1,rainy,0
6.9,63,1,rainy,0
6.9,63,1,rainy,0
7.1,43,1,sunny,0
7.1,43,1,sunny,0
7.1,43,1,sunny,0
7.1,43,1,sunny,0
7.1,43,1,sunny,0
7.1,43,1,sunny,0
7.1,43,1,sunny,0
7.5,55,1,overcast,0
7.5,55,1,overcast,1
7.5,55,1,overcast,0
7.5,55,1,overcast,1
7.5,55,1,overcast,0
7.5,55,1,overcast,0
7.5,55,1,overcast,0
8.7,91,1,rainy,0
8.7,91,1,rainy,0
8.7,91,1,rainy,0
8.7,91,1,rainy,0
8.7,91,1,rainy,1
8.7,91,1,rainy,0
8.7,91,1,rainy,1
8.8,62,1,rainy,0
8.8,62,1,rainy,0
8.8,62,1,rainy,0
8.8,62,1,rainy,0
8.8,62,1,rainy,0
8.8,62,1,rainy,0
8.8,62,1,rainy,0
8.4,60,0,sunny,0
8.4,60,0,sunny,0
8.4,60,0,sunny,1
8.4,60,0,sunny,0
8.4,60,0,sunny,1
8.4,60,0,sunny,0
8.4,60,0,sunny,0
7.5,44,0,overcast,1
7.5,44,0,overcast,0
7.5,44,0,overcast,1
7.5,44,0,overcast,0
7.5,44,0,overcast,0
7.5,44,0,overcast,0
7.5,44,0,overcast,0
6.5,34,0,sunny,1
6.5,34,0,sunny,0
6.5,34,0,sunny,1
6.5,34,0,sunny,0
6.5,34,0,sunny,1
6.5,34,0,sunny,0
6.5,34,0,sunny,0
6.6,53,0,sunny,1
6.6,53,0,sunny,0
6.6,53,0,sunny,1
6.6,53,0,sunny,0
6.6,53,0,sunny,0
6.6,53,0,sunny,0
6.6,53,0,sunny,0
6.5,63,0,sunny,0
6.5,63,0,sunny,0
6.5,63,0,sunny,1
6.5,63,0,sunny,0
6.5,63,0,sunny,0
6.5,63,0,sunny,0
6.5,63,0,sunny,0
7,54,0,overcast,0
7,54,0,overcast,0
7,54,0,overcast,1
7,54,0,overcast,0
7,54,0,overcast,0
7,54,0,overcast,0
7,54,0,overcast,0
7.1,55,0,overcast,0
7.1,55,0,overcast,0
7.1,55,0,overcast,1
7.1,55,0,overcast,0
7.1,55,0,overcast,0
7.1,55,0,overcast,0
7.1,55,0,overcast,0
6.5,71,1,rainy,0
6.5,71,1,rainy,0
6.5,71,1,rainy,0
6.5,71,1,rainy,0
6.5,71,1,rainy,0
6.5,71,1,rainy,0
6.5,71,1,rainy,0
7.2,57,1,overcast,0
7.2,57,1,overcast,0
7.2,57,1,overcast,0
7.2,57,1,overcast,0
7.2,57,1,overcast,0
7.2,57,1,overcast,0
7.2,57,1,overcast,0
9,38,0,sunny,1
9,38,0,sunny,0
9,38,0,sunny,1
9,38,0,sunny,0
9,38,0,sunny,1
9,38,0,sunny,0
9,38,0,sunny,0
11.6,64,0,sunny,1
11.6,64,0,sunny,0
11.6,64,0,sunny,1
11.6,64,0,sunny,0
11.6,64,0,sunny,0
11.6,64,0,sunny,0
11.6,64,0,sunny,0
13.9,52,0,sunny,1
13.9,52,0,sunny,1
13.9,52,0,sunny,1
13.9,52,0,sunny,0
13.9,52,0,sunny,1
13.9,52,0,sunny,0
13.9,52,0,sunny,0
13.4,59,1,sunny,0
13.4,59,1,sunny,0
13.4,59,1,sunny,0
13.4,59,1,sunny,0
13.4,59,1,sunny,0
13.4,59,1,sunny,0
13.4,59,1,sunny,0
12.1,72,1,sunny,0
12.1,72,1,sunny,0
12.1,72,1,sunny,0
12.1,72,1,sunny,0
12.1,72,1,sunny,1
12.1,72,1,sunny,0
12.1,72,1,sunny,0
9.3,50,0,sunny,1
9.3,50,0,sunny,0
9.3,50,0,sunny,1
9.3,50,0,sunny,0
9.3,50,0,sunny,1
9.3,50,0,sunny,0
9.3,50,0,sunny,0
5.5,74,0,overcast,0
5.5,74,0,overcast,0
5.5,74,0,overcast,0
5.5,74,0,overcast,0
5.5,74,0,overcast,0
5.5,74,0,overcast,0
5.5,74,0,overcast,0
4.6,45,0,sunny,1
4.6,45,0,sunny,0
4.6,45,0,sunny,1
4.6,45,0,sunny,0
4.6,45,0,sunny,1
4.6,45,0,sunny,0
4.6,45,0,sunny,0
5,42,1,sunny,1
5,42,1,sunny,0
5,42,1,sunny,0
5,42,1,sunny,1
5,42,1,sunny,1
5,42,1,sunny,1
5,42,1,sunny,0
7,56,0,sunny,1
7,56,0,sunny,0
7,56,0,sunny,1
7,56,0,sunny,0
7,56,0,sunny,0
7,56,0,sunny,0
7,56,0,sunny,0
9.2,78,1,overcast,0
9.2,78,1,overcast,0
9.2,78,1,overcast,0
9.2,78,1,overcast,0
9.2,78,1,overcast,0
9.2,78,1,overcast,0
9.2,78,1,overcast,0
10.3,60,0,rainy,0
10.3,60,0,rainy,0
10.3,60,0,rainy,0
10.3,60,0,rainy,0
10.3,60,0,rainy,0
10.3,60,0,rainy,0
10.3,60,0,rainy,0
10.3,56,1,sunny,0
10.3,56,1,sunny,0
10.3,56,1,sunny,0
10.3,56,1,sunny,0
10.3,56,1,sunny,1
10.3,56,1,sunny,0
10.3,56,1,sunny,0
10.6,62,0,sunny,1
10.6,62,0,sunny,0
10.6,62,0,sunny,1
10.6,62,0,sunny,0
10.6,62,0,sunny,1
10.6,62,0,sunny,0
10.6,62,0,sunny,0
10.7,76,1,overcast,0
10.7,76,1,overcast,0
10.7,76,1,overcast,0
10.7,76,1,overcast,0
10.7,76,1,overcast,0
10.7,76,1,overcast,0
10.7,76,1,overcast,0
10.1,61,1,overcast,0
10.1,61,1,overcast,1
10.1,61,1,overcast,0
10.1,61,1,overcast,1
10.1,61,1,overcast,0
10.1,61,1,overcast,0
10.1,61,1,overcast,0
10.5,57,0,overcast,1
10.5,57,0,overcast,1
10.5,57,0,overcast,1
10.5,57,0,overcast,0
10.5,57,0,overcast,0
10.5,57,0,overcast,0
10.5,57,0,overcast,0
12.1,63,0,sunny,0
12.1,63,0,sunny,0
12.1,63,0,sunny,0
12.1,63,0,sunny,0
12.1,63,0,sunny,1
12.1,63,0,sunny,0
12.1,63,0,sunny,0
13.7,70,1,rainy,0
13.7,70,1,rainy,1
13.7,70,1,rainy,0
13.7,70,1,rainy,0
13.7,70,1,rainy,1
13.7,70,1,rainy,0
13.7,70,1,rainy,0
14.8,61,0,rainy,0
14.8,61,0,rainy,0
14.8,61,0,rainy,0
14.8,61,0,rainy,0
14.8,61,0,rainy,0
14.8,61,0,rainy,0
14.8,61,0,rainy,0
14,48,1,sunny,1
14,48,1,sunny,0
14,48,1,sunny,0
14,48,1,sunny,0
14,48,1,sunny,1
14,48,1,sunny,0
14,48,1,sunny,0
12.1,56,0,sunny,1
12.1,56,0,sunny,1
12.1,56,0,sunny,1
12.1,56,0,sunny,0
12.1,56,0,sunny,1
12.1,56,0,sunny,0
12.1,56,0,sunny,0
10.8,67,1,overcast,0
10.8,67,1,overcast,1
10.8,67,1,overcast,1
10.8,67,1,overcast,1
10.8,67,1,overcast,0
10.8,67,1,overcast,1
10.8,67,1,overcast,0
10.8,66,1,rainy,0
10.8,66,1,rainy,1
10.8,66,1,rainy,0
10.8,66,1,rainy,0
10.8,66,1,rainy,0
10.8,66,1,rainy,0
10.8,66,1,rainy,0
12.1,58,1,sunny,0
12.1,58,1,sunny,0
12.1,58,1,sunny,0
12.1,58,1,sunny,0
12.1,58,1,sunny,1
12.1,58,1,sunny,0
12.1,58,1,sunny,0
12.7,55,0,sunny,1
12.7,55,0,sunny,0
12.7,55,0,sunny,1
12.7,55,0,sunny,0
12.7,55,0,sunny,1
12.7,55,0,sunny,0
12.7,55,0,sunny,0
14,64,0,sunny,0
14,64,0,sunny,0
14,64,0,sunny,0
14,64,0,sunny,0
14,64,0,sunny,1
14,64,0,sunny,0
14,64,0,sunny,0
14.9,54,1,overcast,0
14.9,54,1,overcast,1
14.9,54,1,overcast,1
14.9,54,1,overcast,1
14.9,54,1,overcast,0
14.9,54,1,overcast,0
14.9,54,1,overcast,0
15.7,66,0,rainy,0
15.7,66,0,rainy,1
15.7,66,0,rainy,0
15.7,66,0,rainy,0
15.7,66,0,rainy,0
15.7,66,0,rainy,0
15.7,66,0,rainy,0
17.3,48,1,sunny,1
17.3,48,1,sunny,0
17.3,48,1,sunny,0
17.3,48,1,sunny,0
17.3,48,1,sunny,0
17.3,48,1,sunny,0
17.3,48,1,sunny,0
16.7,67,1,sunny,0
16.7,67,1,sunny,1
16.7,67,1,sunny,0
16.7,67,1,sunny,1
16.7,67,1,sunny,1
16.7,67,1,sunny,0
16.7,67,1,sunny,0
15.2,51,0,overcast,1
15.2,51,0,overcast,1
15.2,51,0,overcast,1
15.2,51,0,overcast,0
15.2,51,0,overcast,0
15.2,51,0,overcast,0
15.2,51,0,overcast,0
14.6,78,1,overcast,0
14.6,78,1,overcast,0
14.6,78,1,overcast,0
14.6,78,1,overcast,1
14.6,78,1,overcast,0
14.6,78,1,overcast,0
14.6,78,1,overcast,0
14.7,57,0,sunny,1
14.7,57,0,sunny,1
14.7,57,0,sunny,1
14.7,57,0,sunny,0
14.7,57,0,sunny,1
14.7,57,0,sunny,0
14.7,57,0,sunny,0
16.5,74,0,rainy,0
16.5,74,0,rainy,0
16.5,74,0,rainy,0
16.5,74,0,rainy,0
16.5,74,0,rainy,0
16.5,74,0,rainy,0
16.5,74,0,rainy,0
17.8,55,0,sunny,1
17.8,55,0,sunny,0
17.8,55,0,sunny,1
17.8,55,0,sunny,0
17.8,55,0,sunny,1
17.8,55,0,sunny,0
17.8,55,0,sunny,0
16.4,69,0,sunny,1
16.4,69,0,sunny,1
16.4,69,0,sunny,1
16.4,69,0,sunny,0
16.4,69,0,sunny,1
16.4,69,0,sunny,1
16.4,69,0,sunny,0
15.4,46,1,sunny,1
15.4,46,1,sunny,0
15.4,46,1,sunny,0
15.4,46,1,sunny,0
15.4,46,1,sunny,0
15.4,46,1,sunny,0
15.4,46,1,sunny,0
14.9,74,0,sunny,0
14.9,74,0,sunny,0
14.9,74,0,sunny,0
14.9,74,0,sunny,0
14.9,74,0,sunny,1
14.9,74,0,sunny,0
14.9,74,0,sunny,0
15.7,75,0,overcast,0
15.7,75,0,overcast,0
15.7,75,0,overcast,0
15.7,75,0,overcast,0
15.7,75,0,overcast,0
15.7,75,0,overcast,0
15.7,75,0,overcast,0
17.3,60,0,overcast,0
17.3,60,0,overcast,0
17.3,60,0,overcast,1
17.3,60,0,overcast,0
17.3,60,0,overcast,0
17.3,60,0,overcast,0
17.3,60,0,overcast,0
18.2,52,1,sunny,1
18.2,52,1,sunny,0
18.2,52,1,sunny,0
18.2,52,1,sunny,0
18.2,52,1,sunny,1
18.2,52,1,sunny,0
18.2,52,1,sunny,0
18.9,61,0,overcast,0
18.9,61,0,overcast,0
18.9,61,0,overcast,1
18.9,61,0,overcast,0
18.9,61,0,overcast,0
18.9,61,0,overcast,0
18.9,61,0,overcast,0
18.9,56,0,sunny,1
18.9,56,0,sunny,0
18.9,56,0,sunny,1
18.9,56,0,sunny,0
18.9,56,0,sunny,0
18.9,56,0,sunny,0
18.9,56,0,sunny,0
19.4,70,1,sunny,0
19.4,70,1,sunny,0
19.4,70,1,sunny,0
19.4,70,1,sunny,0
19.4,70,1,sunny,0
19.4,70,1,sunny,0
19.4,70,1,sunny,0
21.5,52,1,overcast,0
21.5,52,1,overcast,0
21.5,52,1,overcast,0
21.5,52,1,overcast,0
21.5,52,1,overcast,0
21.5,52,1,overcast,0
21.5,52,1,overcast,0
22.7,64,1,rainy,0
22.7,64,1,rainy,1
22.7,64,1,rainy,0
22.7,64,1,rainy,0
22.7,64,1,rainy,0
22.7,64,1,rainy,0
22.7,64,1,rainy,0
22.2,52,0,overcast,1
22.2,52,0,overcast,0
22.2,52,0,overcast,1
22.2,52,0,overcast,0
22.2,52,0,overcast,0
22.2,52,0,overcast,0
22.2,52,0,overcast,0
20.1,70,1,overcast,0
20.1,70,1,overcast,0
20.1,70,1,overcast,0
20.1,70,1,overcast,0
20.1,70,1,overcast,0
20.1,70,1,overcast,0
20.1,70,1,overcast,0
18.3,54,0,sunny,1
18.3,54,0,sunny,0
18.3,54,0,sunny,1
18.3,54,0,sunny,0
18.3,54,0,sunny,1
18.3,54,0,sunny,0
18.3,54,0,sunny,0
18.2,42,0,sunny,1
18.2,42,0,sunny,1
18.2,42,0,sunny,1
18.2,42,0,sunny,0
18.2,42,0,sunny,0
18.2,42,0,sunny,0
18.2,42,0,sunny,0
18.7,79,0,overcast,0
18.7,79,0,overcast,0
18.7,79,0,overcast,0
18.7,79,0,overcast,0
18.7,79,0,overcast,0
18.7,79,0,overcast,0
18.7,79,0,overcast,0
17.2,70,0,rainy,0
17.2,70,0,rainy,1
17.2,70,0,rainy,0
17.2,70,0,rainy,0
17.2,70,0,rainy,0
